,0,1,2,3,4,5
0,1392,360 Amsterdam,Date of Booking,https://docs.google.com/spreadsheets/d/1zuCLb2U825fPiOQQ6rW0oOUcA9zuNeoc26vQpCNnuBg,12568,Yes
1,1009,Thames River Services,Date of Booking,https://docs.google.com/spreadsheets/d/1UMvn6v80nsPkkc8956cFzjhxuHN5_AF-LKMa87sk3ak,12569,Yes
2,231,Silverline Cruises,Date of Booking,https://docs.google.com/spreadsheets/d/1pknC1uN9dilaUiJtazPyPVNmhHfsbMs9RH7P_yJ0dWY,12570,Yes
3,1730,Bookmywifi,Date of Booking,https://docs.google.com/spreadsheets/d/1TlvXM4hAuIuc-8NqI9hhWpL747PxNqp1_yl3y1TSoG0,12571,Yes
4,1462,THIS IS HOLLAND,Date of Booking,https://docs.google.com/spreadsheets/d/1UO8ODiNyu1Wutc691S9XitiISgJfvDKuSb-0BZB4CWY,12572,No
5,1576,Casa Vicens,Date of Delivery,https://docs.google.com/spreadsheets/d/1T60MYL1hEq558Uh8IiymRBvS2yUrLN3WVe12mPYZ5uw,12573,No
6,1538,Premiant tours,Date of Delivery,https://docs.google.com/spreadsheets/d/18fdv0PkxWjpagTCpCGNq2xAGrccoJ6v-gdNWHkrByIo,12574,No
7,2622,Espacio Trafalgar SL,Date of Delivery,https://docs.google.com/spreadsheets/d/12_UMUX_iymzOOa_A2whRAwZviq8n2cCV63WmjEXr92M,12575,No
8,1413,Bateaux Mouches,Date of Delivery,https://docs.google.com/spreadsheets/d/16JNMuEgFycX94d_S0eSv3a2A4wEsiNeLgKIxLC8tGKw,12576,No
9,1709,Dutch Oriental,Date of Delivery,https://docs.google.com/spreadsheets/d/1j7OaLmFVnOfEKgYIINNsEsTFX9VnFvdVq-VTW9AQfzw,12577,No
10,1883,Amigo Tours Spain,Date of Delivery,https://docs.google.com/spreadsheets/d/1c-MYQa6cIR0r53E-Qxr8XR0DI23zOni-cGM7GgTNSWc,12578,No
11,2566,CGN SA,Date of Delivery,https://docs.google.com/spreadsheets/d/1szy3KktA3ENZWyne44wZNpN3AoBphwdTHCSskAwEM8g,12579,No
12,1383,City Sightseeing Worldwide,Date of Delivery,https://docs.google.com/spreadsheets/d/14eiU96iWhRz-sBET0BbGhOSKF-ZtqzIQyAmvpkZRPfY,12580,No
13,1617,Caf Tour & Travel,Date of Delivery,https://docs.google.com/spreadsheets/d/17uEiDKjTIrGutfbsvHrsgJq-QDlogablgy5qNnsz4Po,12581,No
14,1642,Sevilla Inside,Date of Delivery,https://docs.google.com/spreadsheets/d/17rqSsZf6XQb6Fs98qrZk0dhwjS3z6uNuV_4FH9iTsvE,12582,No
15,1170,Magic Ways,Date of Delivery,https://docs.google.com/spreadsheets/d/1FqnnIKh7rGZEsDPTRRnAtMKoCzw1bb9odGYQSO0Eed0,12583,No
16,1851,Anera Travel,Date of Delivery,https://docs.google.com/spreadsheets/d/1t13IBdBwR-yQD7lEqwQL1ckZ01Cict23rEBJGL2VTBI,12584,No
17,1676,Park Viaggi,Date of Delivery,https://docs.google.com/spreadsheets/d/10oAlqQp116Is2Yp21NohgFPsK2mAj5WfvGEyqxnKOG0,12585,No
18,2211,Reederei Abicht,Date of Delivery,https://docs.google.com/spreadsheets/d/1rZfFLSTXgNkltKyQ43TJYv2aGNPH5d2Ca-TalrgTlsY,12586,No
19,210,Blue Boat Amsterdam,Date of Booking,https://docs.google.com/spreadsheets/d/1ZKAy3OlS8ZaIvCLjnyv5eZieeRaWgbUVCh-WE4whmtQ,12587,No
20,1805,When in Rome,Date of Delivery,https://docs.google.com/spreadsheets/d/1ewwxvAdPDYqgX9NC1avgt6G0MW61diUuYyao_NOoqbY,12588,No
21,2635,Crocosaurus Cove,Date of Delivery,https://docs.google.com/spreadsheets/d/1CE-Ax3pXp6PWpXpWua9WesyeDIgSzSQ_1KIbjhJwjrA,12589,No
22,1393,Julia Travels,Date of Delivery,https://docs.google.com/spreadsheets/d/1RRnfE8mWdvrzW1ZYrNY35HLGJjYiHNUZ7z1sBlgQ_4E,12590,No
23,1585,Royal Museums of Greenwich,Date of Delivery,https://docs.google.com/spreadsheets/d/1jTPqdg4Rp0bqQ7dkA8ldwID0Qnqh3B9-AJpC29Ios7M,12591,No
24,2695,Aqua Fun Krystian Kapusta,Date of Delivery,https://docs.google.com/spreadsheets/d/19DwjYVJECvm50utUEf7opKWItVnia4oLNeMEZRN3dvg,12592,No
